,value,value,value,value,value,value,value,value,value,value,value,value
tele_station_name.th,ที่ทำการอุทยานแห่งชาติน้ำตกโยง,ทุ่งสง,น้ำตกปลิว,บ้านหน้าเขา,บ้านหินราว,บ้านเขาโร,บ้านไสใหญ่เหนือ,ฝายคลองท่าเลา,ฝายคลองเปิก,รร.บ้านพูน,หน่วยพิทักษ์อุทยานแห่งชาติที่ ขป.๔ (บ้านน้ำตก),ไร่ วงศ์ ทอง เมฆ ดี
date,,,,,,,,,,,,
2021-07-18 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-19 12:00,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 13:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 14:00,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 15:00,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 16:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 17:00,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 18:00,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
2021-07-19 19:00,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0
